# Northeast Breakers Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: 
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2015-11-11
#--------------------
# Title
#	Study_Name: Northeast Breakers Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Cruger, T.; Patzold, J.
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Cruger, T.; Patzold, J.
#       Published_Date_or_Year: 2005
#       Published_Title: NAO signature in a Bermuda coral Sr/Ca record
#       Journal_Name: Geochemistry, Geophysics, Geosystems
#       Volume: 6
#       Edition: 
#       Issue: 4
#       Pages: 
#       DOI: 10.1029/2004GC000786
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2004GC000786/full
#       Full_Citation: 
#       Abstract: We present a 55-year-long record (1928–1982) of Sr/Ca in a Bermuda coral (Diploria strigosa), which we use to reconstruct local twentieth century climate features. The clearest climate signal emerges for the late-year Sr/Ca. Although the coral was collected in shallow water (12 m), the correlation with station data is highest for temperatures at 50 m depth (r = −0.70), suggesting that local temperatures at the collection site are not representative for the sea surface temperatures in the adjacent open ocean. The most striking feature of the coral record is the persistent and significant correlation (r = −0.50) with the North Atlantic Oscillation (NAO) index. Field correlations of fall Sr/Ca with the winter sea level pressure (SLP) show the typical spatial NAO pattern. The stable relationship with the NAO shows that Sr/Ca in Bermuda corals is a suitable tool for the reconstruction of North Atlantic climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.33
# 	Southernmost_Latitude: 32.33
# 	Easternmost_Longitude: -64.75
# 	Westernmost_Longitude: -64.75
# 	Elevation: -12 m  
#------------------
# Data_Collection   
#	Collection_Name: 05berm01a
#	Earliest_Year: 1825
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"}
#------------------
# Species
#	Species_Name: Diploria strigosa 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
##d13C	delta 13 Carbon, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##U/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	U/Ca
1900.54	-4.06	9.09	-1.96	1.01
1900.46	-3.99	9.07	-1.91	1
1900.38	-3.79	9.07	-1.72	1.01
1900.29	-3.5	9.12	-1.55	1.03
1900.21	-3.26	9.17	-1.64	1.06
1900.13	-3.3	9.18	-1.9	1.07
1900.04	-3.33	9.19	-2.01	1.07
1899.96	-3.55	9.17	-2.03	1.07
1899.88	-3.53	9.14	-1.93	1.04
1899.79	-3.79	9.11	-2.16	1.03
1899.71	-3.77	9.07	-2.13	1.01
1899.63	-3.83	9.07	-1.99	1.02
1899.54	-3.72	9.09	-1.92	1.01
1899.46	-3.52	9.16	-2.01	1.03
1899.38	-3.45	9.2	-2.05	1.02
1899.29	-3.27	9.23	-1.94	1.04
1899.21	-3.26	9.27	-2.2	1.06
1899.13	-3.34	9.29	-2.3	1.04
1899.04	-3.37	9.26	-2.37	1.03
1898.96	-3.46	9.25	-2.3	1.04
1898.88	-3.56	9.2	-1.98	1.05
1898.79	-3.69	9.18	-1.93	1.04
1898.71	-3.91	9.11	-2.19	1.03
1898.63	-4.07	9.06	-2.34	0.99
1898.54	-4.08	9.04	-2.19	1
1898.46	-3.8	9.08	-1.73	1.02
1898.38	-3.38	9.13	-1.41	1.04
1898.29	-3.3	9.21	-1.46	1.09
1898.21	-3.18	9.18	-1.88	1.03
1898.13	-3.39	9.19	-2.13	1.02
1898.04	-3.55	9.16	-2.08	1.02
1897.96	-3.72	9.09	-2.07	1
1897.88	-3.9	9.1	-1.98	1.01
1897.79	-3.94	9.08	-1.96	1.02
1897.71	-3.99	9.04	-2.02	0.99
1897.63	-3.97	9.03	-1.74	0.98
1897.54	-3.98	9.06	-1.78	0.99
1897.46	-3.76	9.09	-1.55	1.01
1897.38	-3.38	9.1	-1.24	1.03
1897.29	-3.33	9.19	-1.45	1.06
1897.21	-3.3	9.23	-1.76	1.08
1897.13	-3.39	9.22	-1.87	1.05
1897.04	-3.46	9.21	-2.02	1.03
1896.96	-3.6	9.15	-1.9	1.03
1896.88	-3.78	9.11	-1.86	1.04
1896.79	-3.89	9.09	-1.86	1.03
1896.71	-4.02	9.06	-1.99	1.01
1896.63	-4.06	9.03	-2.03	0.99
1896.54	-3.96	9.06	-1.97	1
1896.46	-3.79	9.09	-1.67	1.01
1896.38	-3.56	9.12	-1.35	1.04
1896.29	-3.33	9.21	-1.28	1.09
1896.21	-3.28	9.25	-1.51	1.09
1896.13	-3.34	9.22	-1.89	1.06
1896.04	-3.49	9.23	-1.82	1.07
1895.96	-3.57	9.22	-1.95	1.05
1895.88	-3.68	9.19	-2.09	1.04
1895.79	-3.95	9.13	-2.02	1.03
1895.71	-4.13	9.09	-2.03	1.01
1895.63	-4.15	9.09	-2.01	1.01
1895.54	-4.11	9.07	-1.98	1.01
1895.46	-4.03	9.1	-1.74	1.02
1895.38	-3.7	9.18	-1.34	1.07
1895.29	-3.43	9.22	-0.99	1.11
1895.21	-3.24	9.26	-0.86	1.12
1895.13	-3.29	9.3	-1.28	1.14
1895.04	-3.41	9.24	-1.6	1.11
1894.96	-3.5	9.19	-1.82	1.06
1894.88	-3.67	9.13	-1.74	1.04
1894.79	-3.75	9.09	-1.69	1.04
1894.71	-3.74	9.11	-1.54	1.07
1894.63	-3.72	9.11	-1.3	1.07
1894.54	-3.98	9.08	-1.44	1.03
1894.46	-3.72	9.09	-1.11	1.03
1894.38	-3.42	9.14	-0.73	1.05
1894.29	-3.24	9.22	-0.65	1.11
1894.21	-3.14	9.23	-1.1	1.1
1894.13	-3.31	9.21	-1.53	1.07
1894.04	-3.38	9.11	-1.61	1.07
1893.96	-3.62	9.15	-1.74	1.04
1893.88	-3.82	9.17	-1.98	1.04
1893.79	-3.84	9.13	-2.08	1.03
1893.71	-4.04	9.14	-2.14	1.03
1893.63	-4.05	9.07	-2.1	0.99
1893.54	-3.87	9.05	-1.84	0.99
1893.46	-3.87	9.03	-1.7	0.99
1893.38	-3.69	9.1	-1.35	1.03
1893.29	-3.5	9.18	-1.04	1.1
1893.21	-3.21	9.16	-0.95	1.07
1893.13	-3.25	9.21	-1.31	1.08
1893.04	-3.46	9.24	-1.72	1.08
1892.96	-3.58	9.19	-1.76	1.04
1892.88	-3.78	9.15	-1.79	1.02
1892.79	-3.91	9.13	-1.9	1.02
1892.71	-3.97	9.12	-1.86	1.03
1892.63	-4.02	9.09	-1.79	1.02
1892.54	-4.05	9.08	-1.7	1.01
1892.46	-3.72	9.09	-1.24	1.03
1892.38	-3.44	9.16	-1.04	1.07
1892.29	-3.32	9.2	-1.26	1.09
1892.21	-3.26	9.22	-1.59	1.09
1892.13	-3.35	9.23	-1.79	1.08
1892.04	-3.52	9.2	-1.81	1.06
1891.96	-3.68	9.17	-1.85	1.03
1891.88	-3.82	9.13	-1.92	1.03
1891.79	-3.89	9.11	-1.89	1.02
1891.71	-3.85	9.09	-1.67	1
1891.63	-3.86	9.09	-1.55	1.01
1891.54	-3.75	9.11	-1.32	1.02
1891.46	-3.42	9.18	-0.98	1.05
1891.38	-3.33	9.22	-1.19	1.08
1891.29	-3.39	9.21	-1.48	1.09
1891.21	-3.27	9.24	-1.77	1.06
1891.13	-3.3	9.21	-1.63	1.05
1891.04	-3.4	9.19	-1.59	1.03
1890.96	-3.43	9.17	-1.48	1.04
1890.88	-3.45	9.15	-1.4	1.04
1890.79	-3.53	9.13	-1.44	1.03
1890.71	-3.63	9.13	-1.42	1.03
1890.63	-3.67	9.09	-1.41	1.01
1890.54	-3.67	9.09	-1.41	1
1890.46	-3.59	9.11	-1.3	1.01
1890.38	-3.47	9.13	-1.07	1.04
1890.29	-3.34	9.16	-0.77	1.07
1890.21	-3.21	9.18	-0.54	1.09
1890.13	-3.22	9.23	-1.07	1.09
1890.04	-3.34	9.22	-1.17	1.08
1889.96	-3.54	9.23	-1.35	1.07
1889.88	-3.76	9.2	-1.62	1.05
1889.79	-3.86	9.14	-1.61	1.05
1889.71	-3.91	9.13	-1.64	1.05
1889.63	-3.95	9.11	-1.66	1.04
1889.54	-3.98	9.09	-1.65	1.02
1889.46	-4.01	9.11	-1.62	1.02
1889.38	-3.95	9.16	-1.42	1.01
1889.29	-3.51	9.18	-0.81	1.05
1889.21	-3.32	9.21	-0.68	1.1
1889.13	-3.33	9.26	-1.01	1.12
1889.04	-3.44	9.24	-1.46	1.11
1888.96	-3.56	9.19	-1.49	1.08
1888.88	-3.75	9.18	-1.57	1.07
1888.79	-3.93	9.13	-1.36	1.06
1888.71	-4.02	9.14	-1.33	1.06
1888.63	-4.02	9.09	-1.51	1.04
1888.54	-3.91	9.1	-1.42	1.04
1888.46	-3.7	9.07	-1.31	1.02
1888.38	-3.58	9.1	-1.27	1.05
1888.29	-3.38	9.13	-1.38	1.04
1888.21	-3.19	9.18	-1.46	1.07
1888.13	-3.28	9.17	-1.3	1.06
1888.04	-3.18	9.26	-1.49	1.1
1887.96	-3.4	9.27	-1.48	1.1
1887.88	-3.58	9.25	-1.55	1.08
1887.79	-3.76	9.22	-1.67	1.08
1887.71	-3.93	9.18	-1.84	1.07
1887.63	-3.98	9.13	-1.88	1.04
1887.54	-3.95	9.09	-1.78	1.02
1887.46	-3.89	9.07	-1.69	1.01
1887.38	-3.59	9.06	-1.16	1.01
1887.29	-3.32	9.03	-0.77	0.97
1887.21	-3.26	9.1	-0.95	1.03
1887.13	-3.44	9.15	-1.28	1.08
1887.04	-3.6	9.19	-1.41	1.1
1886.96	-3.66	9.18	-1.53	1.09
1886.88	-3.85	9.12	-1.57	1.05
1886.79	-3.85	9.09	-1.62	1.04
1886.71	-3.98	9.1	-1.47	1.05
1886.63	-3.89	9.08	-1.58	1.05
1886.54	-3.88	9.07	-1.36	1.04
1886.46	-3.46	9.08	-0.95	1.03
1886.38	-3.25	9.13	-0.73	1.07
1886.29	-3.19	9.18	-0.96	1.1
1886.21	-3.26	9.22	-1.36	1.1
1886.13	-3.31	9.22	-1.3	1.07
1886.04	-3.53	9.19	-1.3	1.05
1885.96	-3.79	9.16	-1.41	1.04
1885.88	-3.92	9.11	-1.49	1.02
1885.79	-3.9	9.08	-1.43	1
1885.71	-3.91	9.08	-1.37	1.01
1885.63	-3.92	9	-1.39	0.99
1885.54	-3.77	9.02	-1.13	0.98
1885.46	-3.54	9.06	-0.83	1
1885.38	-3.4	9.1	-0.71	1.03
1885.29	-3.39	9.15	-0.89	1.06
1885.21	-3.26	9.17	-1.15	1.08
1885.13	-3.37	9.19	-1.23	1.07
1885.04	-3.54	9.18	-1.48	1.05
1884.96	-3.69	9.15	-1.7	1.03
1884.88	-3.76	9.13	-1.71	1.02
1884.79	-3.85	9.09	-1.69	1.01
1884.71	-3.92	9.09	-1.79	1.01
1884.63	-3.92	9.1	-1.78	1.01
1884.54	-3.77	9.07	-1.42	0.99
1884.46	-3.65	9.08	-1.15	1
1884.38	-3.43	9.08	-0.95	1
1884.29	-3.23	9.09	-0.73	1
1884.21	-3.14	9.13	-0.39	1.02
1884.13	-3.25	9.18	-0.74	1.08
1884.04	-3.32	9.19	-1.17	1.07
1883.96	-3.41	9.16	-1.44	1.04
1883.88	-3.62	9.12	-1.57	1.01
1883.79	-3.76	9.07	-1.53	0.99
1883.71	-3.73	9.05	-1.33	0.98
1883.63	-3.97	9.03	-1.43	0.97
1883.54	-3.81	9.04	-1.39	0.97
1883.46	-3.55	9.07	-1.02	0.98
1883.38	-3.2	9.17	-0.9	1.04
1883.29	-3.07	9.24	-1.1	1.06
1883.21	-3.04	9.26	-1.38	1.06
1883.13	-3.16	9.22	-1.58	1.02
1883.04	-3.26	9.18	-1.55	1.01
1882.96	-3.39	9.16	-1.45	1.03
1882.88	-3.5	9.11	-1.35	1.02
1882.79	-3.7	9.07	-1.45	1.01
1882.71	-3.84	9.03	-1.52	0.98
1882.63	-3.85	9.01	-1.5	0.96
1882.54	-3.75	9.02	-1.38	0.96
1882.46	-3.65	9.04	-1.27	0.95
1882.38	-3.42	9.09	-0.79	1
1882.29	-3.17	9.17	-0.51	1.05
1882.21	-3.12	9.18	-0.76	1.06
1882.13	-3.24	9.19	-1.09	1.05
1882.04	-3.41	9.15	-1.44	1.02
1881.96	-3.74	9.09	-1.7	0.99
1881.88	-4	9.06	-1.88	0.99
1881.79	-4.06	9.03	-1.87	0.98
1881.71	-4.14	9.02	-1.72	0.97
1881.63	-4.06	9.02	-1.64	0.97
1881.54	-3.95	9.03	-1.57	0.98
1881.46	-3.81	9.07	-1.35	0.99
1881.38	-3.66	9.11	-0.98	1.03
1881.29	-3.36	9.15	-0.9	1.04
1881.21	-3.16	9.22	-1.16	1.07
1881.13	-3.22	9.23	-1.42	1.06
1881.04	-3.2	9.23	-1.68	1.04
1880.96	-3.26	9.22	-1.79	1.05
1880.88	-3.38	9.2	-1.85	1.03
1880.79	-3.47	9.15	-1.93	1
1880.71	-3.51	9.11	-1.74	1.02
1880.63	-3.62	9.09	-1.69	0.99
1880.54	-3.68	9.07	-1.54	0.98
1880.46	-3.67	9.05	-1.36	0.99
1880.38	-3.62	9.03	-1.19	0.99
1880.29	-3.5	9.01	-1.01	0.96
1880.21	-3.16	9.06	-0.68	1.01
1880.13	-3.18	9.17	-0.68	1.09
1880.04	-3.21	9.18	-0.84	1.09
1879.96	-3.32	9.16	-0.89	1.07
1879.88	-3.55	9.14	-1.01	1.07
1879.79	-3.69	9.1	-1.02	1.07
1879.71	-3.8	9.04	-1.12	1.03
1879.63	-3.92	8.98	-1.42	0.98
1879.54	-3.9	9	-1.47	0.99
1879.46	-3.88	8.99	-1.34	0.98
1879.38	-3.73	9.03	-1.11	1.01
1879.29	-3.48	9.09	-0.7	1.07
1879.21	-3.23	9.16	-0.49	1.09
1879.13	-3.31	9.2	-0.65	1.12
1879.04	-3.37	9.19	-0.87	1.1
1878.96	-3.47	9.17	-0.93	1.08
1878.88	-3.59	9.14	-0.98	1.06
1878.79	-3.67	9.1	-1.13	1.03
1878.71	-3.73	9.07	-1.06	1.01
1878.63	-3.8	9.03	-1.13	1
1878.54	-3.8	9.02	-1.07	1
1878.46	-3.73	9.05	-0.93	1.04
1878.38	-3.57	9.11	-0.67	1.08
1878.29	-3.32	9.16	-0.35	1.13
1878.21	-3.18	9.23	-0.3	1.18
1878.13	-3.19	9.27	-0.55	1.21
1878.04	-3.44	9.19	-1	1.12
1877.96	-3.56	9.16	-1.15	1.09
1877.88	-3.71	9.11	-1.24	1.05
1877.79	-3.8	9.06	-1.34	1.02
1877.71	-3.88	9.02	-1.39	1
1877.63	-3.9	9	-1.27	0.99
1877.54	-3.81	9.02	-1.07	1
1877.46	-3.68	9.1	-0.93	1.06
1877.38	-3.38	9.15	-0.6	1.08
1877.29	-3.14	9.2	-0.21	1.11
1877.21	-2.98	9.25	-0.49	1.11
1877.13	-3.15	9.25	-1.2	1.09
1877.04	-3.2	9.24	-1.22	1.08
1876.96	-3.27	9.2	-1.21	1.06
1876.88	-3.37	9.16	-1.27	1.03
1876.79	-3.5	9.12	-1.26	1.03
1876.71	-3.79	9.09	-1.29	1.04
1876.63	-3.84	9.04	-1.24	1
1876.54	-3.84	9	-1.25	0.97
1876.46	-3.8	9	-1.09	0.97
1876.38	-3.65	9.03	-0.85	0.99
1876.29	-3.36	9.09	-0.65	1.03
1876.21	-2.97	9.2	-0.19	1.11
1876.13	-3.16	9.19	-0.57	1.09
1876.04	-3.24	9.2	-0.89	1.07
1875.96	-3.45	9.14	-1.3	1.03
1875.88	-3.63	9.1	-1.47	1.01
1875.79	-3.81	9.06	-1.36	1
1875.71	-4.05	9	-1.76	0.96
1875.63	-3.96	9.03	-1.45	1.01
1875.54	-4.02	9	-1.44	0.98
1875.46	-3.88	9.03	-1.07	1
1875.38	-3.59	9.1	-0.74	1.03
1875.29	-3.32	9.17	-0.65	1.07
1875.21	-3.15	9.24	-0.91	1.11
1875.13	-3.28	9.22	-1.18	1.07
1875.04	-3.26	9.19	-1.22	1.04
1874.96	-3.3	9.17	-1.33	1.04
1874.88	-3.36	9.14	-1.28	1.04
1874.79	-3.5	9.11	-1.19	1.03
1874.71	-3.7	9.07	-1.31	1.01
1874.63	-3.78	9.02	-1.42	0.98
1874.54	-3.7	9	-1.26	0.96
1874.46	-3.6	9.01	-0.97	0.97
1874.38	-3.41	9.06	-0.64	1.01
1874.29	-3.17	9.15	-0.37	1.08
1874.21	-3.08	9.17	-0.72	1.08
1874.13	-3.3	9.18	-1.09	1.06
1874.04	-3.52	9.14	-1.45	1.02
1873.96	-3.73	9.1	-1.5	1.01
1873.88	-4.11	9.07	-1.57	0.99
1873.79	-3.99	8.94	-1.5	0.94
1873.71	-3.61	9	-0.73	0.96
1873.63	-3.97	9.02	-1.32	0.99
1873.54	-3.99	9	-1.26	0.96
1873.46	-3.82	8.99	-0.87	0.96
1873.38	-3.56	9.02	-0.61	0.98
1873.29	-3.29	9.13	-0.35	1.05
1873.21	-3.11	9.17	-0.51	1.09
1873.13	-3.25	9.18	-0.79	1.08
1873.04	-3.51	9.15	-1.07	1.04
1872.96	-3.6	9.12	-1.03	1.01
1872.88	-3.7	9.11	-0.89	1.03
1872.79	-3.75	9.07	-1.05	1.01
1872.71	-3.83	8.99	-1.2	0.99
1872.63	-3.93	8.96	-1.23	0.98
1872.54	-3.88	8.98	-1.23	0.96
1872.46	-3.72	8.98	-1.04	0.96
1872.38	-3.63	9.03	-0.73	1.01
1872.29	-3.16	9.13	-0.37	1.09
1872.21	-3.13	9.18	-0.46	1.13
1872.13	-3.29	9.17	-1.05	1.08
1872.04	-3.54	9.11	-1.38	1.03
1871.96	-3.64	9.07	-1.34	1
1871.88	-3.9	8.99	-1.35	0.97
1871.79	-3.86	8.98	-1.11	0.97
1871.71	-4.03	8.97	-1.23	0.95
1871.63	-4.01	8.96	-1.09	0.95
1871.54	-3.9	8.97	-1.07	0.95
1871.46	-3.64	9.05	-0.85	1.02
1871.38	-3.33	9.1	-0.45	1.06
1871.29	-3.37	9.16	-0.53	1.09
1871.21	-3.14	9.18	-1.16	1.07
1871.13	-3.31	9.18	-1.17	1.05
1871.04	-3.54	9.15	-1.24	1.04
1870.96	-3.36	9.03	-0.91	1.02
1870.88	-3.47	8.98	-1.01	0.99
1870.79	-3.53	8.98	-0.91	0.99
1870.71	-3.57	8.99	-0.76	0.99
1870.63	-3.59	8.99	-0.66	1
1870.54	-3.67	8.97	-0.67	1
1870.46	-3.73	8.92	-0.76	0.97
1870.38	-3.48	8.95	-0.47	0.99
1870.29	-3.12	9.07	-0.1	1.07
1870.21	-2.79	9.13	-0.36	1.11
1870.13	-2.94	9.14	-0.66	1.06
1870.04	-3.1	9.12	-0.96	1.02
1869.96	-3.34	9.07	-1.11	0.97
1869.88	-3.51	9.02	-1.1	0.95
1869.79	-3.53	9	-0.99	0.97
1869.71	-3.54	8.98	-0.88	1
1869.63	-3.62	9.02	-0.68	0.99
1869.54	-3.71	9.02	-0.68	1
1869.46	-3.71	9.01	-0.51	1
1869.38	-3.54	9	-0.26	1.01
1869.29	-3.23	9.01	-0.07	1.03
1869.21	-2.96	9.09	0.22	1.1
1869.13	-3.03	9.18	-0.27	1.09
1869.04	-3.08	9.15	-0.63	1.03
1868.96	-3.12	9.09	-0.95	1
1868.88	-3.17	9.06	-1.07	1
1868.79	-3.27	9.06	-0.9	1
1868.71	-3.46	9.07	-0.88	0.99
1868.63	-3.65	9.04	-0.86	0.99
1868.54	-3.7	9.01	-0.74	0.99
1868.46	-3.59	8.98	-0.59	1
1868.38	-3.48	8.98	-0.42	1.02
1868.29	-3.43	9	-0.22	1.06
1868.21	-3.11	9	-0.08	1.1
1868.13	-3.18	9.1	-0.09	1.12
1868.04	-3.09	9.1	-0.23	1.1
1867.96	-3.43	9	-0.55	1.05
1867.88	-3.74	8.99	-0.77	1
1867.79	-3.84	9.03	-0.74	1
1867.71	-3.83	9.03	-0.55	1
1867.63	-3.86	9.01	-0.42	0.98
1867.54	-3.85	9	-0.46	0.97
1867.46	-3.69	9.01	-0.49	0.99
1867.38	-3.56	9.05	-0.11	1.01
1867.29	-3.46	9.1	0.05	1.06
1867.21	-3.21	9.2	-0.01	1.11
1867.13	-3.25	NAN	-0.48	NAN
1867.04	-3.38	NAN	-0.73	NAN
1866.96	-3.52	NAN	-0.8	NAN
1866.88	-3.53	NAN	-0.77	NAN
1866.79	-3.74	NAN	-0.72	NAN
1866.71	-3.75	NAN	-0.64	NAN
1866.63	-3.65	NAN	-0.59	NAN
1866.54	-3.56	NAN	-0.65	NAN
1866.46	-3.47	NAN	-0.7	NAN
1866.38	-3.36	NAN	-0.57	NAN
1866.29	-3.21	NAN	-0.46	NAN
1866.21	-2.99	NAN	-0.57	NAN
1866.13	-3	NAN	-1.07	NAN
1866.04	-3.06	NAN	-1.3	NAN
1865.96	-3	NAN	-1.09	NAN
1865.88	-3.2	NAN	-1.05	NAN
1865.79	-3.44	NAN	-1.02	NAN
1865.71	-3.59	NAN	-0.89	NAN
1865.63	-3.73	NAN	-0.86	NAN
1865.54	-3.77	NAN	-0.85	NAN
1865.46	-3.59	NAN	-0.56	NAN
1865.38	-3.36	NAN	-0.26	NAN
1865.29	-3.25	NAN	-0.13	NAN
1865.21	-3.22	NAN	-0.55	NAN
1865.13	-3.25	NAN	-0.87	NAN
1865.04	-3.4	NAN	-0.96	NAN
1864.96	-3.51	NAN	-0.94	NAN
1864.88	-3.57	NAN	-0.9	NAN
1864.79	-3.59	NAN	-0.86	NAN
1864.71	-3.5	NAN	-0.84	NAN
1864.63	-3.4	NAN	-0.81	NAN
1864.54	-3.77	NAN	-0.9	NAN
1864.46	-3.87	NAN	-0.94	NAN
1864.38	-3.77	NAN	-0.9	NAN
1864.29	-3.64	NAN	-0.73	NAN
1864.21	-2.98	NAN	-0.17	NAN
1864.13	-3.33	NAN	-0.41	NAN
1864.04	-3.19	NAN	-0.63	NAN
1863.96	-3.2	NAN	-0.85	NAN
1863.88	-3.45	NAN	-1	NAN
1863.79	-3.73	NAN	-1.04	NAN
1863.71	-3.82	NAN	-0.98	NAN
1863.63	-3.46	NAN	-0.92	NAN
1863.54	-3.53	NAN	-0.99	NAN
1863.46	-3.64	NAN	-1	NAN
1863.38	-3.61	NAN	-0.86	NAN
1863.29	-3.33	NAN	-0.49	NAN
1863.21	-2.71	NAN	0.28	NAN
1863.13	-3.06	NAN	-0.83	NAN
1863.04	-3.11	NAN	-1.08	NAN
1862.96	-3.29	NAN	-1.2	NAN
1862.88	-3.33	NAN	-1.27	NAN
1862.79	-3.28	NAN	-1.17	NAN
1862.71	-3.35	NAN	-1.22	NAN
1862.63	-3.42	NAN	-0.93	NAN
1862.54	-3.4	NAN	-0.6	NAN
1862.46	-3.47	NAN	-0.54	NAN
1862.38	-3.16	NAN	-0.1	NAN
1862.29	-3.03	NAN	-0.11	NAN
1862.21	-2.96	NAN	-0.23	NAN
1862.13	-3.26	NAN	-0.49	NAN
1862.04	-3.38	NAN	-0.62	NAN
1861.96	-3.44	NAN	-0.74	NAN
1861.88	-3.69	NAN	-0.85	NAN
1861.79	-3.85	NAN	-1.05	NAN
1861.71	-3.91	NAN	-1.22	NAN
1861.63	-3.86	NAN	-1.15	NAN
1861.54	-3.69	NAN	-0.87	NAN
1861.46	-3.58	NAN	-0.61	NAN
1861.38	-3.61	NAN	-0.48	NAN
1861.29	-3.46	NAN	-0.57	NAN
1861.21	-3.36	NAN	-0.58	NAN
1861.13	-3.58	NAN	-0.92	NAN
1861.04	-3.76	NAN	-1.17	NAN
1860.96	-3.74	NAN	-0.98	NAN
1860.88	-3.98	NAN	-0.89	NAN
1860.79	-4.05	NAN	-0.98	NAN
1860.71	-4.09	NAN	-0.96	NAN
1860.63	-4.15	NAN	-0.98	NAN
1860.54	-4.1	NAN	-0.95	NAN
1860.46	-4.15	NAN	-0.92	NAN
1860.38	-4	NAN	-0.79	NAN
1860.29	-3.78	NAN	-0.61	NAN
1860.21	-2.8	NAN	-0.4	NAN
1860.13	-3.19	NAN	-1.03	NAN
1860.04	-3.29	NAN	-1.21	NAN
1859.96	-3.29	NAN	-1.12	NAN
1859.88	-3.37	NAN	-0.96	NAN
1859.79	-3.46	NAN	-0.8	NAN
1859.71	-3.6	NAN	-0.72	NAN
1859.63	-3.68	NAN	-0.7	NAN
1859.54	-3.6	NAN	-0.74	NAN
1859.46	-3.52	NAN	-0.46	NAN
1859.38	-3.45	NAN	-0.26	NAN
1859.29	-3.35	NAN	-0.23	NAN
1859.21	-3.17	NAN	-0.49	NAN
1859.13	-3.23	NAN	-0.83	NAN
1859.04	-3.41	NAN	-0.93	NAN
1858.96	-3.56	NAN	-0.85	NAN
1858.88	-3.67	NAN	-0.83	NAN
1858.79	-3.8	NAN	-0.91	NAN
1858.71	-3.68	NAN	-0.75	NAN
1858.63	-3.5	NAN	-0.47	NAN
1858.54	-3.47	NAN	-0.3	NAN
1858.46	-3.31	NAN	-0.11	NAN
1858.38	-3.08	NAN	0	NAN
1858.29	-3.22	NAN	-0.3	NAN
1858.21	-2.89	NAN	-0.48	NAN
1858.13	-2.97	NAN	-0.78	NAN
1858.04	-3.09	NAN	-0.82	NAN
1857.96	-3.26	NAN	-0.58	NAN
1857.88	-3.35	NAN	-0.65	NAN
1857.79	-3.44	NAN	-0.73	NAN
1857.71	-3.53	NAN	-0.8	NAN
1857.63	-3.61	NAN	-0.88	NAN
1857.54	-3.51	NAN	-0.76	NAN
1857.46	-3.21	NAN	-0.44	NAN
1857.38	-3.39	NAN	-0.49	NAN
1857.29	-3.37	NAN	-0.65	NAN
1857.21	-3.15	NAN	-0.91	NAN
1857.13	-3.38	NAN	-1.4	NAN
1857.04	-3.58	NAN	-1.34	NAN
1856.96	-3.65	NAN	-1.25	NAN
1856.88	-3.72	NAN	-0.96	NAN
1856.79	-3.8	NAN	-1.09	NAN
1856.71	-3.85	NAN	-1.25	NAN
1856.63	-3.87	NAN	-1.21	NAN
1856.54	-3.78	NAN	-1.15	NAN
1856.46	-3.59	NAN	-1.08	NAN
1856.38	-3.63	NAN	-1.02	NAN
1856.29	-3.42	NAN	-0.96	NAN
1856.21	-2.77	NAN	-0.28	NAN
1856.13	-3.08	NAN	-0.16	NAN
1856.04	-2.89	NAN	-0.37	NAN
1855.96	-3.09	NAN	-0.36	NAN
1855.88	-2.73	NAN	-0.28	NAN
