# Synchronization of the Byrd and Greenland (GISP2/GRIP) Records
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2450
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/readme_blunier2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2001
# --------------------
# Title 
#	Study_Name: Synchronization of the Byrd and Greenland (GISP2/GRIP) Records 
# --------------------
# Investigators
#	Investigators: Blunier, T.; Brook, E.J. 
# --------------------
# Description_and_Notes
# 	Description: The data archived here were used for Figure 1 of Blunier and Brook, 
#	Timing of millennial-scale climate change in Antarctica and Greenland 
#	during the last glacial period, Science, 291, 109-112, 2001. 
#	This paper should be cited when referring to the synchronized Byrd 
#	time scale and the Byrd methane data for the time period >50 ka.
#
# --------------------
# Publication
#	Authors: T. Blunier, E.J. Brook
#	Published_Date_or_Year: 2001
#	Published_Title: Timing of millennial-scale climate change in Antarctica and Greenland during the last glacial period
#	Journal_Name: Science
#	Volume: 291			
#	Edition: 	
#	Issue: 
#	Pages: 109-112
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A precise relative chronology for Greenland and West Antarctic paleotemperature is extended to 90,000 years ago, based on correlation of atmospheric methane records from the Greenland Ice Sheet Project 2 and Byrd ice cores. Over this period, the onset of seven major millennial-scale warmings in Antarctica preceded the onset of Greenland warmings by 1500 to 3000 years. In general, Antarctic temperatures increased gradually while Greenland temperatures were decreasing or constant, and the termination of Antarctic warming was apparently coincident with the onset of rapid warming in Greenland. This pattern provides further evidence for the operation of a “bipolar see-saw” in air temperatures and an oceanic teleconnection between the hemispheres on millennial time scales.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: GISP
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 72.1
#	Southernmost_Latitude: 72.1
#	Easternmost_Longitude: -38.08
#	Westernmost_Longitude: -38.08
#	Elevation: 3000 m
# --------------------
# Data_Collection
#	Collection_Name: 01GISP01
#	Earliest_Year: 89776
#	Most_Recent_Year: 10014.2
#	Time Unit: years before 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_yb1950	Age,,,years before 1950,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_yb1950	d18O
80097.3	-37.13
80468	-37.05
80846.3	-36.81
81224.7	-36.95
81603	-36.62
81991	-36.69
82379	-36.72
82767	-36.95
83161.7	-36.39
83556.3	-35.8
83951	-38.41
84368	-38.22
84785	-39.15
85202	-39.31
85637.3	-39.69
86072.7	-40.09
86508	-40.57
86961.3	-40.11
87414.7	-38.75
87868	-38.4
88326.7	-38.34
88785.3	-38.24
89244	-37.76
89700	-37.97
50051	-40.1
50162	-40
50272	-39.6
50382	-40
50491	-39.3
50599	-39.5
50704	-40.1
50809	-40
50915	-39.9
51022	-39.6
51127	-39.3
51232	-39.6
51335	-39.2
51439	-39.7
51543	-39.6
51645	-39.1
51746	-38.1
51847	-38.2
51947	-38.9
52045	-39.1
52144	-38.8
52242	-38.2
52341	-38.1
52437	-38.1
52585	-37.9
52738	-38.1
52889	-37.8
53040	-38.1
53191	-38.7
53340	-38.7
53487	-39
53633	-38.9
53780	-39.1
53926	-38.9
54070	-38.7
54215	-38.7
54357	-38
54487	-38.1
54616	-38.7
54756	-38.5
54896	-39.6
55036	-39.8
55174	-39.7
55310	-40.2
55445	-39.8
55579	-40
55713	-39.8
55847	-39.7
55979	-40
56177	-40.1
56437	-39.5
56693	-39.2
56946	-38.9
57208	-39.1
57468	-38.8
57710	-38.6
57900	-38.5
58087	-38
58270	-37.8
58451	-37.7
58629	-37.6
58806	-38.4
58985	-38.1
59311	-38.3
59631	-38.5
59946	-38.5
60258	-39.2
60567	-39.2
60872	-38.6
61173	-39.5
61470	-39.8
61762	-40
62049	-40.2
62333	-40.5
62615	-40.4
62894	-40.3
63170	-40.6
63443	-41.3
63697	-41.7
63940	-41
64157	-40.4
64377	-40
64596	-40.6
64810	-41.3
65024	-41.1
65233	-40.6
65439	-41.2
65642	-41.7
65842	-40.7
66040	-41.1
66235	-41
66428	-40.8
66619	-41.2
66808	-40.3
66993	-41.3
67178	-41.5
67495	-41.4
67844	-40.7
68188	-40
68532	-39.4
68874	-39.7
69211	-39.3
69540	-39.6
69869	-39.2
70208	-39.7
70540	-41.2
70851	-40.9
71160	-40.9
71466	-39.8
71778	-39.7
72081	-39.3
72375	-39
72666	-38.2
72952	-37.8
73231	-37.3
73509	-38.3
73788	-38.5
74061	-39
74329	-40
74598	-39.9
74894	-40
75200	-39.9
75499	-40
75795	-39.6
76089	-39.5
76377	-39.7
76664	-39.5
77088	-39.5
77506	-39.4
77791	-39.3
78075	-39
78342	-39
78603	-38.7
78849	-38.8
79098	-38.9
79359	-38.4
79614	-38.4
79866	-38
80109	-37.9
80352	-37.9
80596	-38.1
80833	-37.7
81064	-37.5
81295	-37.7
81524	-37.2
81776	-37.1
82176	-37.1
82672	-37
83108	-36.7
83538	-36.3
83956	-36.9
84374	-37.1
84786	-37.2
85198	-37.3
85604	-37.6
86010	-38.3
86404	-38.1
86798	-39
87180	-40.3
87562	-39.9
87938	-39.8
88309	-39.2
88679	-38.8
89043	-39
89407	-38.7
89766	-38.6
